english;hungarian
apex;kanyar belső csúcsa
armco;pályaszéli korlát
attrition race;sok kieséssel járó verseny
backmarker;sereghajtó versenyző
chequered flag;kockás zászló
chicane;sikán
circuit;pálya
clicks;kilométer per óra
cockpit;pilótafülke
compound;(gumi)keverék
complex;kanyarkombináció, kanyargós rész
corner;kanyar
debris;törmelék, autó darabjai
demotion;hátrasorolás, visszaesés
downforce;leszorítóerő
drive-through penalty;áthajtásos büntetés
driver line-up;a csapat pilótái [pilóta-felállás]
entrance;kanyarbemenet
exit;kanyarkimenet / kigyorsítás
flat out;teligázzal
flat-spot;"kockásra" fékez
formation lap;felvezető kör
free practice;szabadedzés
gear;sebességfokozat
getaway;elrajtolás
grain;szemcsésedik / szemcsésedés
gravel (trap);kavicságy
grid;rajtrács, [átvitt értelemben:] mezőny
grid slot;rajtpozíció
grip;tapadás, úttartás
handling;vezethetőség
in-lap;levezető kör
kerb;rázókő
lap;kör / leköröz
layout;kialakítás [pályáé]
left hander;balkanyar
lift;leveszi a lábát a gázról
livery;karosszéria-mintázat
lock up;blokkol [kereket]
lollipop;"nyalóka"
lunge;beszúrás [autóé]
marshal;pályabíró
nosecone;orrkúp
one-two;kettős győzelem
option tyre;lágy gumi
out-lap;felvezető kör
oversteer;túlkormányzottság
package;[autóösszetevők kombinációja]
parade lap;felvezető kör
pit;kiáll a boxba
pit(lane);boxutca
pit board;boxutcából kilógatott tájékoztató tábla
pitstop;boxkiállás
podium finish;dobogós helyezés
polesitter;első rajthelyről induló
prime tyre;kemény gumi
procession;előzések nélküli verseny [felvonulás]
puncture;defekt
qualifying session;időmérő edzés
qualy;időmérő
race seat;versenypilótai állás
race trim;versenybeállítások
racing accident;versenybaleset [nem az egyik fél felelőssége]
retirement;kiesés
revs;fordulatszám
right hander;jobbkanyar
run-off area;bukótér
"safety car in this lap";"a biztonsági autó ebben a körben kiáll"
set-up;beállítás
shakedown;bejárató, beüzemelő teszt
silly season;átigazolási pletykák időszaka
slipstream;szélárnyék
spin;megpördül; megpördülés
stall;lefullad
steward;versenyfelügyelő
stint;pályán töltött időszak
t-car;tartalékautó
team orders;csapatsorrend [csapattársak között]
team principal;csapatvezető
timed lap;mért kör
track;pálya
traction;tapadás
traction control;kipörgésgátló
turn;kanyar
tyre degradation/wear;gumikopás
tyre warmer/blanket;gumimelegítő, ftőpaplan
under braking;fékezés közben
understeer;alulkormányzottság
warm-up;melegítő edzés
warm-up lap;felvezető kör
